No.	確定	都道府県	市区郡	場所・スポット	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	年	月	日	ジャンル	ジャンルフリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	項目順	県順	市順	域順
375		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント パーやん	214-0021	神奈川県川崎市多摩区宿河原2-4		35.615590	139.577046	"https://www.google.co.jp/maps/@35.6156002,139.5770965,3a,15y,252.85h,107.84t/data=!3m6!1e1!3m4!1sMLdb3MS_R_BNHJDDo5P_Pg!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
376		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント チンプイ＆春日エリ	214-0021	神奈川県川崎市多摩区宿河原3-2		35.615423	139.577108	"https://www.google.co.jp/maps/@35.6154297,139.5771402,3a,15y,249.14h,83.82t/data=!3m6!1e1!3m4!1sV67BRlmjimckOnlx5hvmlg!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
377		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント しずかちゃん	214-0021	神奈川県川崎市多摩区宿河原3-3		35.614372	139.578832	"https://www.google.co.jp/maps/@35.6143931,139.5788383,3a,15y,193.29h,117.38t/data=!3m6!1e1!3m4!1soDEmdOikRS5raTktKzcc7g!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
378		神奈川県	川崎市	藤子・F・不二雄作品のレリーフモニュメント スネ夫	214-0021	神奈川県川崎市多摩区宿河原3-4		35.615215	139.579153	"https://www.google.co.jp/maps/@35.6151969,139.5790982,3a,15y,71.27h,103.74t/data=!3m6!1e1!3m4!1sf699uMRetNENlCLvMZDKLA!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
379		神奈川県	川崎市	藤子・F・不二雄作品の銅像 ドラえもん（宿河原駅）	214-0021	神奈川県川崎市多摩区宿河原3-4		35.615169	139.579363	"https://www.google.co.jp/maps/@35.6151462,139.5793058,3a,15y,65.65h,80.51t/data=!3m6!1e1!3m4!1sY50hTFkpCGJo5dEkTiGusQ!2e0!7i16384!8i8192"				モニュメント	モニュメント	藤子・F・不二雄ミュージアムと、登戸駅、向ヶ丘遊園駅、宿河原駅の3駅に囲まれたエリアの各地に設置された銅像やレリーフなどのキャラクターオブジェの一つ。				カワサキシ	モ	10	14	2	2
380		神奈川県	川崎市	藤子・F・不二雄作品の銅像① ドラえもん	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.586067	139.651178	"https://www.google.com/maps/@35.5858756,139.6510353,3a,15y,32.74h,90.18t/data=!3m6!1e1!3m4!1siqyGszqkR9E4_3hNhfDXvw!2e0!7i16384!8i8192"				モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
381		神奈川県	川崎市	藤子・F・不二雄作品の銅像② パーマン	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.585978	139.651306	"https://www.google.com/maps/@35.5858756,139.6510353,3a,15y,66.61h,91.36t/data=!3m6!1e1!3m4!1siqyGszqkR9E4_3hNhfDXvw!2e0!7i16384!8i8192"				モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
382		神奈川県	川崎市	藤子・F・不二雄作品の銅像③ Kick off!	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.585846	139.651864					モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
383		神奈川県	川崎市	藤子・F・不二雄作品の銅像④ コロ助	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.585278	139.651315	"https://www.google.com/maps/@35.5852324,139.6511121,3a,15y,74.99h,94.01t/data=!3m6!1e1!3m4!1sFZ4uAg7W2hrjM4uy5HpD2A!2e0!7i16384!8i8192"				モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
384		神奈川県	川崎市	藤子・F・不二雄作品の銅像⑤ ドラミちゃん	211-0052	神奈川県川崎市中原区等々力1-1	等々力陸上競技場メインスタンド	35.585831	139.651719					モニュメント	モニュメント					カワサキシ	モ	10	14	2	2
